_word,sense
АВГУСТ,"<p><b>А́вгуст</b>. Это название восьмого месяца года пришло из латинского языка, где слово «Augustus» было мужским именем, означавшим «священный». Имя Август было присвоено сенатом первому римскому императору Октавиану (63 г. до н. э. — 14 г. н. э.), а в честь первого императора был назван последний месяц лета. Вам знакомо выражение «августейшая особа»? Так раньше называли членов императорской семьи. Слово августейший того же корня, что и слово август, а значение имеет — «священнейший».</p>"
АВИАЦИЯ,"<p><b>Авиа́ция</b>. Появилось в русском языке в начале XX в. как заимствование из французского. Во французском же это слово с помощью суффикса было образовано от латинского слова avis, означающего «птица».</p>"
АВОСЬ,"<p><b>Аво́сь</b>. Это русское по происхождению слово образовалось путем сращения союза <i>а</i> и указательной частицы <i>осе</i> (имевшей значение «вот»); позднее между двумя гласными развилось <i>в</i> — такое часто встречается в языке, так как словно бы облегчает произношение. Добавим, что это только одна из гипотез происхождения словечка <i>авось</i>. Есть и другие.</p>"
АВОСЬКА,"<p><b>Аво́ська</b>. Это смешное слово, как и сам предмет, почти исчезло из современного языка, потому что теперь у нас в ходу полиэтиленовые пакеты, которые продаются на каждом шагу, в каждом магазине. А раньше, отправляясь на улицу, люди брали с собой такую плетеную веревочную сумочку (места она занимала мало) — <i><font color=blue>авось</font></i> что-нибудь подвернется, купишь, так будет куда положить. Прибавили к слову <i><font color=blue>авось</font></i> соответствующий суффикс и получили <i>авоську</i>.</p>"
АВРАЛ,"<p><b>Авра́л</b>. Этот морской термин, означающий «все наверх», взят из голландского языка, в котором слово «overal» значит «повсюду».</p>"
АВТОБИОГРАФИЯ,"<p><b>Автобиогра́фия</b>. <i><font color=blue>Биография</font></i> (см.) означает «жизнеописание», <i>авто</i> восходит к греческому autos «сам», таким образом все слово можно было бы перевести как «саможизнеописание», то есть биография, написанная автором.</p>"
АВТОБУС,"<p><b>Авто́бус</b>. Это слово настолько утвердилось в русском языке, что воспринимается почти как исконно русское, однако существительное <i>автобус</i>, как и само это транспортное средство, появились в России лишь в начале XX в. И то, и другое среди ближайшей родни числили <i>омнибус</i> — так в XIX в. называли многоместный конный экипаж для перевозки пассажиров. Интересно происхождение этого слова: оно образовано от латинского omnibus, означающего «всем» (дательный падеж от omnis — «весь»). Когда в омнибусе вместо конной тяги стали использовать двигатель внутреннего сгорания, называть его стали автомобиль-омнибус. Со временем от первого слова в этой паре осталось «авто», а от второго — «бус», так вот и получился современный <i>автобус</i>.</p>"
АВТОГРАФ,<p><b>Авто́граф</b>. От греческого autos — «сам» и grapho — «пишу»: собственноручная подпись. Так же мы называем и авторскую рукопись книги.</p>
АВТОМАТ,"<p><b>Автома́т</b>. Заимствовано из французского языка в конце XVIII в., а французское automate в свою очередь восходит к греческому automatos «самодействующий, самодвижущийся».</p>"
АВТОМОБИЛЬ,"<p><b>Автомоби́ль</b>. Среди слов, образованных с помощью греческого autos, <i>автомобиль</i> занимает особое место. И в самом деле, без автомобиля нашу жизнь трудно представить. Слово это появилось в русском языке в начале XX в., и помимо уже названного греческого autos имеет в своем составе еще и латинский корень — от mobilis, то есть «подвижный». То же самое понятие можно было бы передать русской калькой — «самоход». Однако в русском языке утвердился <i>автомобиль</i>, заимствованный из одного из европейских языков.</p>"
АВТОР,"<p><b>А́втор</b>. Заимствовано в XVII в. из польского, где autor («создатель, творец») восходит к латинскому autor с таким же значением.</p>"
АГА,"<p><b>Ага́</b>. Это междометие, выражающее удивление, насмешку или злорадство, имеет собственно русское происхождение, а возникло оно из удвоения междометия <i>а</i>; между двумя <i>а</i> по законам языка развилось так называемое интервокальное (то есть находящееся между двумя гласными) <i>г</i>.</p>"
АГЕНТ,<p><b>Аге́нт</b>. Заимствовано в начале XVII в. из немецкого языка. Немецкое же agent восходит к латинскому agens — причастию от глагола «действовать».</p>
АГИТАТОР,"<p><b>Агита́тор</b>. Заимствовано в XIX в. из немецкого Agitator, восходящему к латинскому agitator («приводящий в движение, подстрекатель»).</p>"
АГНЕЦ,"<p><b>А́гнец</b>. Это слово, от которого так и веет Библией (оно знакомо вам по выражению «агнец Божий»), родственно совсем обыкновенному и привычному слову «ягненок», а восходят оба слова к одному латинскому — agnus, означающему «барашек», «ягненок».</p>"
АГРЕССИЯ,"<p><b>Агре́ссия</b>. Заимствовано в начале XX в. из французского, восходящего в свою очередь к лат. aggressio — «нападение».</p>"
АГРОНОМИЯ,"<p><b>Агроно́мия</b>. Так называют науку о законах полеводства, а восходит это слово к греческим корням — agros «поле» и nomos «закон», «обычай». Впрочем, в русский язык это слово попало в XVIII в. из Западной Европы. Скажем, в английском слово agronomy появилось гораздо раньше — было позаимствовано из греческого, где agronomos означало «чиновник по сельским и земельным делам».</p>"
АД,"<p><b>Ад</b>. Заимствовано из греческого, где hades, или haides означает «ад», «преисподняя». Если вы знакомы с греческой мифологией, то знаете имя владыки царства мертвых — Аида. Оно одного корня с нашим словом <i>ад</i>. Любопытно, как древнегреческие мифологические понятия и представления переходят в новую эпоху — христианскую.</p>"
АДАМОВО ЯБЛОКО,"<p><b>Ада́мово я́блоко</b>. Иначе «кадык»; точно так же эта часть шеи называется и во многих других языках (например в английском Adam's apple или во французском pomme d'Adam). Такое название кадыка основано на библейской истории, согласно которой запретный плод, яблоко из райского сада, которое вкусил Адам, застряло у него в горле.</p>"
АДМИРАЛ,"<p><b>Адмира́л</b>. Это слово восходит, вероятно, к арабскому, где <i>эмир алъ бар</i> (ведь вам знакомо слово эмир? Если нет, поищите его в толковом словаре.) означает «повелитель моря». В русском языке слово адмирал появилось в петровские времена и было заимствовано из голландского, где арабское слово уже преобразовалось в admiraal.</p>"
АДРЕС,<p><b>А́дрес</b>. Заимствовано из польского в XVIII в. Польское же слово adres восходит к французскому adresse.</p>
АДЪЮТАНТ,"<p><b>Адъюта́нт</b>. Это слово восходит к латинскому adjutantis, что значит «помогающий». В современном языке адъютант означает «офицер, состоящий в помощниках для исполнения поручений при каком-либо высоком военачальнике». Как видим, значение древнего латинского слова почти не изменилось.</p>"
АЖУР,"<p><b>Ажу́р</b>. Любопытно, что это слово, используемое в разговорном, полужаргонном словосочетании <i>в ажуре</i>, связано с бухгалтерским делом. Французское a jour означает «(подытоженный) по сегодняшний день», а в бухгалтерии, говоря <i>ажур</i>, имеют в виду, что бухгалтерские записи были проведены в день совершения операций.</p>"
АЗАРТ,"<p><b>Аза́рт</b>. Это слово, возможно, зазвучит для вас по-новому, если вы узнаете, что оно одного корня с французским hasard — «случай», «случайность» и английским hazard — «опасный», «рискованный». Так опасен ли азарт? Вспомним, куда он привел Гёрманна, героя пушкинской «Пиковой дамы».</p>"
АЗБУКА,"<p><b>А́збука</b>. Это слово скалькировано (то есть составлено по аналогии с другим словом) с греческого слова <i><font color=blue>алфавит</font></i>, которое образовано из названия двух первых букв греческого алфавита — «альфы» и «беты». Слово азбука составлено из старых названий двух первых букв русского алфавита — «аз» (современное «а») и «буки» (современное «бэ»). Любопытно, что одно из названий азбуки — <i>абевега</i>: принцип тот же.</p>"
АЗОТ,"<p><b>Азо́т</b>. Это слово было создано искусственно в 1787 году, когда потребовался научный термин для названия этого газа. Поскольку этот газ не поддерживает дыхания и название ему было придумано соответствующее: из греческого zot «жизнь» и греческой же отрицательной приставки а; таким образом, в переводе с греческого это искусственное слово означает «неживой». В русский язык этот термин попал из французского — именно во Франции это слово и было создано.</p>"
АЙДА,"<p><b>Айда́</b>. Это слово широко распространенное в некоторых азиатских и тюркских языках, по мнению некоторых ученых, оттуда и проникло в русский, сохранив сильные связи со своим исконным значением: в киргизском, татарском и других языках оно означает «гнать», «понукать». В современном русском <i>айда</i> стало междометием и соответствует призыву начать двигаться, тронуться с места. Еще необходимо заметить, что слово это относится к просторечным.</p>"
АКАДЕМИЯ,"<p><b>Акаде́мия</b>. Древнегреческий философ Платон преподавал свое учение в школе, расположившейся в роще недалеко от города Афины. Роща эта носила название «Академия». Такова была высокая научная репутация одного из первых философов человечества, что название небольшой рощицы передалось через многие века и закрепилось за высшими научными учреждениями.</p>"
АКАЦИЯ,"<p><b>Ака́ция</b>. Заимствовано в XVIII в. из немецкого, а восходит, видимо, к греческому acakia, которое, скорее всего, возникло от существительного ake — «шип, игла, колючка». <i>Акация</i> в таком случае могло означать «колючее дерево».</p>"
АКВАЛАНГ,"<p><b>Аквала́нг</b>. Это слово, как и сам прибор, позволяющий дышать под водой, появилось совсем недавно, каких-нибудь полвека назад в Англии: в существительном aqualung латинское aqua — «вода» и английское lung — «легкое» в сумме дали что-то вроде «подводное легкое».</p>"
АКВАРЕЛЬ,"<p><b>Акваре́ль</b>. Заимствовано из немецкого (aquarell) или французского (aquarelle). Латинский корень этих слов — aqua означает «вода», а в целом акварель — это «водная краска». Интересно, что по-английски это понятие передается сочетанием «water color», то есть тоже «водная краска».</p>"
АКВАРИУМ,"<p><b>Аква́риум</b>. Это слово заимствовано из латинского языка в середине XIX в. Латинское aquarium означает «водоем», в основе лежит существительное aqua — «вода». По такому же принципу образовано и слово <i>террариум</i>.</p>"
АКВЕДУК,"<p><b>Акведу́к</b>. Иначе это же сооружение называют «водопровод». Это существительное образовано из уже знакомого нам по слову акварель латинского корня aqua, то есть «вода», и латинского же ductus — «проход», «канал».</p>"
АККУРАТНЫЙ,"<p><b>Аккура́тный</b>. Заимствовано в XVIII в. из польского языка, а восходит к латинскому accuratus — «старательный, точный».</p>"
АКТИВ,"<p><b>Акти́в</b>. Актив в значении «наиболее деятельные члены какой-либо организации». Собственно русское образование советской эпохи, возникло, по-видимому, в результате переосмысления существительного в значении «доходы, платежные поступления», которое было заимствовано из французского языка (actif) во второй половине XIX в., где использовалось как банковско-юридический термин.</p>"
АКУЛА,"<p><b>Аку́ла</b>. Считается, что название этой рыбы-убийцы пришло к нам от древних искусных рыболовов — исландцев, в языке которых было слово hakall, имеющее значение «рыба».</p>"
АЛГЕБРА,"<p><b>А́лгебра</b>. Это такое привычное и знакомое для нас слово пришло в наш язык издалека — из арабского мира, где в Средние века процветали точные науки. Недаром и те цифры, которыми мы пользуемся, называются арабскими. Al-gabr по-арабски означает «восстановление разрозненных частей» (al — это арабский артикль, наподобие английского «the», немецкого «der» или французского «la/le»).</p>"
АЛКАТЬ,"<p><b>Алка́ть</b>. В значении «хотеть есть, жаждать, желать» это устаревшее ныне слово заимствовано из старославянского языка. Интересно, что это высокое слово восходит к тому же корню, что и довольно низменное <i>лакать</i> (см.).</p>"
АЛКОГОЛЬ,"<p><b>Алкого́ль</b>. Вот еще один пример арабского влияния на русский язык. Многие арабские слова легко распознаваемы по артиклю ал(ь) — (см., например, <i><font color=blue>алгебра</font></i>). Слово <i>алкоголь</i>, означающее в нашем языке спиртные напитки, в арабском значило «тонко измельченный порошок». Такими порошками пользовались, вероятно, средневековые арабские естествоиспытатели. Ведь и слово <i><font color=blue>алхимия</font></i> пришло к нам из арабского, который в Средние века был языком науки.</p>"
АЛЛЕЯ,"<p><b>Алле́я</b>. Заимствовано в XVIII в. из польского языка, который в свою очередь заимствовал его из французского, где allée означает «проход, дорога», причастие от глагола aller — «идти».</p>"
АЛМАЗ,"<p><b>Алма́з</b>. Это слово существовало уже в древнерусском языке, а заимствовано было из тюркских языков, вероятнее всего из татарского, который в свою очередь позаимствовал слово <i>алмас</i> из арабского. Но и это еще не конец цепочки заимствований: арабское almas восходит к греческому adamas — «несокрушимый». Вполне подходящее слово для определения прочностных свойств этого камня — недаром его применяют в буровых долотах</p>"
АЛТЫН,"<p><b>Алты́н</b>. Старинная русская монета в три копейки. Это древнерусское заимствование из татарского, где <i>алтын</i> — «золото, золотая монета». Первоначально такое же значение было у слова <i>алтын</i> и в русском языке: «медная монета в 3 копейки» (в прежние времена «монета в 15 копеек» называлась <i>пятиалтынный:</i> 3x5 = 15).</p>"
АЛФАВИТ,<p><b>Алфави́т</b>. См. <i><font color=blue>азбука</font></i>.</p>
АЛХИМИЯ,"<p><b>Алхи́мия</b>. Как и алгебра, восходит к арабскому языку (в который оно попало, вероятно, из греческого); в арабском «al-kimia» (al — это, как мы знаем, из таких слов, как <i><font color=blue>алгебра</font></i> и <i><font color=blue>алкоголь</font></i>, арабский артикль) означало просто науку о строении вещества и не имело того слегка уничижительного оттенка, которое это слово имеет в нашем языке сегодня.</p>"
АЛЧНЫЙ,"<p><b>А́лчный</b>. Это прилагательное принадлежит к высокому стилю и редко используется в разговорной речи. А образовалось слово <i>алчный</i> из общеславянского глагола <i><font color=blue>алкать</font></i>, который первоначально значил «хотеть есть». В современном языке слово <i>алчный</i> редко употребляется в значении «жадный к еде», теперь оно значит «стремящийся к чему-либо, жадный к наживе».</p>"
АЛЫЙ,"<p><b>А́лый</b>. Такое русское, казалось бы, слово. Но пришло оно в русский из татарского, где <i>ал</i> означает «ярко-красный». Кстати, любопытно, что и в турецком языке мы найдем родственное слово — alew, что значит «пламя».</p>"
АЛЫЧА,"<p><b>Алыча́</b> (род сливы). Заимствовано из азербайджанского языка в XIX в., азербайджанцы в свою очередь позаимствовали это слово у иранцев: <i>алуча</i>, так этот плод называется на персидском.</p>"
АЛЬБИОН,"<p><b>Альбио́н</b>. Вы, наверное, слышали такое название Англии — «туманный Альбион». Ну, туманный, понятно (об английских туманах ходят легенды), а вот почему Альбион, да и что такое этот Альбион? Небольшой экскурс в историю поможет понять, откуда взялось это название. Древние римляне покоряли не только близлежащие земли, добрались они и до далекой Англии (в районе сегодняшнего города Дувр) и были поражены характерным белым цветом ее береговых скал. Ведь берега Англии образованы меловыми породами. По цвету скал и дали римляне название этой стране: слово <i><font color=blue>Альбион</font></i> восходит к латинскому слову albus, что означает «белый» (вспомним, кстати, и такое родственное с этим слово, как <i>альбинос</i>, означающее отсутствие окраски в цвете волос, кожи или глаз человека или животного).</p>"
АЛЬБОМ,"<p><b>Альбо́м</b>. Заимствовано в начале XIX в. из французского языка, который в свою очередь позаимствовал слово album из латинского, где оно обозначало «именной список», «белая доска для объявления распоряжений». Заметим, что в основе этого слова лежит тот же корень, что и в основе слова <i><font color=blue>Альбион</font></i>.</p>"
АЛЬМАНАХ,"<p><b>Альмана́х</b>. Неудивительно, что в русском языке на букву «а» начинается много арабских слов, ведь, как мы уже знаем, многие слова, пришедшие к нам из арабского языка, начинаются с артикля «ал(ь)». Альманах — одно из них. Если в русском языке это слово означает «непериодическое издание, в которое входят сочинения современных авторов», то в своем родном языке слово al-manah означало «календарь».</p>"
АЛЬТРУИЗМ,"<p><b>Альтруи́зм</b>. Это слово пришло в русский из французского языка, где образовалось с помощью широко используемого суффикса -ism, добавленного к латинскому alter, значившему «другой». Таким образом, значение этого слова по-русски можно было бы передать словом «другизм», то есть забота о других.</p>"
АЛЯПОВАТЫЙ,"<p><b>Аляпова́тый</b>. Это слово, имеющее значение «сделанный грубо, безвкусно», происходит от глагола <i>ляпать</i>, который первоначально означал «шлепать», «бросать что-либо мокрое». Затем глагол <i>ляпать</i> приобрел значение «делать как попало». А от этого глагола уже недалеко до прилагательного <i>аляповатый</i>.</p>"
АМАЗОНКА,"<p><b>Амазо́нка</b>. Это греческое слово пришло к нам в XVII в. из польского, а греческое amazones — «амазонки» возникло по названию мифического племени воинственных женщин, якобы живших в Скифии. Греч. amazones образовано из отрицания а — «без» и mazos — «грудь»: по древним мифам, эти воительницы для удобства стрельбы из лука выжигали себе правую грудь.</p>"
АМБАР,"<p><b>Амба́р</b>. Это слово пришло в руский язык из одного из восточных языков. Есть оно в виде anbar или ambar в турецком, татарском, казахском языках. Но, пожалуй, самый древний язык, в котором мы встречаем это слово (там оно имеет вид sambhara) — это древнеиндийский.</p>"
АМБУЛАТОРИЯ,"<p><b>Амбулато́рия</b>. Заимствовано в XIX в. из немецкого, в котором Ambulatorium образовано от лат. ambulare — «ходить». В отличие от больницы, это лечебное заведение предназначено для больных, которые приходят, чтобы получить свои лечебные процедуры и затем уйти домой.</p>"
АМЕРИКА,"<p><b>Аме́рика</b>. Название великому континенту было дано по имени Америго Веспуччи (1454—1512), флорентийца по происхождению, а по профессии мореплавателя. Веспуччи несколько раз в разных экспедициях достигал берегов Южной Америки и первым высказал предположение, что это новая часть света. Составители карт назвали новый континент в честь Америго Америкой. Вот ведь какая несправедливость, в честь куда более известного открывателя Америки Христофора Колумба названа небольшая страна Колумбия, тогда как менее известный Веспуччи удостоился куда как большей чести — его имя носят сразу две Америки: Северная и Южная.</p>"
АМЕТИСТ,"<p><b>Амети́ст</b>. Это слово древнегреческого происхождения попало к нам через немецкий или французский язык. В греческом же слово <i>аметистос</i> значило «не пьяный», поскольку этот камень считался средством против опьянения, так как обладал лилово-фиолетовым цветом, цветом сильно разбавленного вина, от которого невозможно опьянеть.</p>"
АМИНЬ,"<p><b>Ами́нь</b>. Заимствовано из старославянского языка, а восходит к греческому amen — «воистину», которое в свою очередь заимствовано из древнееврейского.</p>"
АМПЕР,"<p><b>Ампер</b>. Это слово, называющее единицу электрического тока, образовано по принципу превращения фамилии в имя нарицательное: французский ученый Андре Ампер был одним из основоположников электродинамики. В честь него и названо одно из основных понятий в электричестве.</p>"
АМФИБИЯ,"<p><b>Амфи́бия</b>. Это слово пришло к нам через французский язык из греческого, где образовалось путем сложения двух слов amphi: — «с обеих сторон» и bios — «живущий». <i>Амфибия</i> — земноводное, живущее с обеих сторон — над и под водой. Впрочем, теперь так называют и машины, способные передвигаться как по суше, так и по воде.</p>"
АМФИТЕАТР,"<p><b>Амфитеа́тр</b>. Заимствовано в XVIII в. из французского языка, а восходит к греческому amphitheatron, которое представляет собой сложение двух понятий: amphi — «вокруг, около, с обеих сторон» и theatron — «место для зрителей». Ведь амфитеатр — это места, расположенные за партером и нередко полукругом, почти как в древнем театре, где так назывались места, расположенные полукругом на склоне холма.</p>"
АНАЛИЗ,"<p><b>Ана́лиз</b>. Обратите внимание на это простое слово: оно восходит к греческому, имеющему значение «разложение», «разделение». Теперь становится понятнее современное его значение: «метод научного исследования, состоящий в разделении целого на составные части».</p>"
АНГАР,"<p><b>Анга́р</b>. Заимствовано в начале XX в. из французского, где hangar — «навес, ангар, пристройка к дому», восходит к немецкому hangen — «висеть, быть прикрепленным к чему-либо». Вспомним, кстати, и английское hang того же корня.</p>"
АНГЕЛ,"<p><b>А́нгел</b>. Заимствовано из старославянского, который взял это слово из греческого, где aggelos буквально «вестник, посол» — ведь именно такое значение имеет это слово: «посланник Божий, объявляющий Его волю».</p>"
АНГИНА,"<p><b>Анги́на</b>. Заимствовано в XVII в. из латинского, где angina имеет значение «удушье».</p>"
АНГОРСКИЙ,"<p><b>Анго́рский</b>. Вы, вероятно, слышали это слово в сочетаниях «ангорская кошка», «ангорский кролик», «ангорская коза». Что же это за место такое — Ангора? Нет, на современных картах его не отыщешь, а вот на карте, выпущенной лет сто назад, его можно было найти — так называлась нынешняя Анкара, столица Турции. Под Анкарой (Ангорой) разводили особую породу коз с длинной бархатистой шерстью. Называли этих коз ангорскими. Впоследствии это название перешло и на других животных, имеющих длинную шелковистую шерсть и не имеющих никакого отношения к Ангоре.</p>"
