_word,sense
АБХАВА,"<p><b>Абхава</b> [<i>санскр.</i>] — несуществование, неприсутствие, отсутствие ощущения; отсутствие; несуществование; отрицание, в котором чьё-то Я медитирует на Нуле, или лишении каждого качества, или ограничении всего.</p><p><b>АБХАВА</b> — сс. Небытие. Абсолютного небытия не существует, поскольку есть понятие «бытие» (бхава). Вещь, которая поименована, существует как нечто реальное, идеальное или номинальное. В учении вайшешики перечисляются четыре вида небытия как отсутствия вещи: если она еще не проявилась (прагабхава), если она уничтожена (дхвамса-абхава), не существует в качестве другой вещи, не являясь ею (аньанья-абхава), если с ней нет связи, например она не находится в данном месте (атьянта-абхава). Непроявленное состояние вещи может предшествовать проявленному и выступать как небытие-потенция, источник бытия. В большинстве буддийских школ проблема небытия связана с отрицанием субстанциального «я», души, с концепцией пустоты, пустотности (шунья, шуньята) мира, отсутствия у вещей собственной независимой природы (свабхава). Синоним: асах [Источник: словарь буддийских терминов (2).]</p>"
АБХАВАМАТРА,<p><b>Абхаваматра</b> [<i>санскр.</i>] — просто отрицательный характер.</p>
АБХАВАНА,<p><b>Абхавана</b> [<i>санскр.</i>] — недумание.</p>
АБХАВАПАДАРТХА,"<p><b>Абхавападартха</b> [<i>санскр.</i>] — вещь, которая не может существовать в действительности, например, рог из волос, сын бесплодной женщины.</p>"
АБХАВАРУПАВРИТТИ,<p><b>Абхаварупавритти</b> [<i>санскр.</i>] — мышление о несуществующем предмете.</p>
АБХАНАВАРАНА,"<p><b>Абханаварана</b> [<i>санскр.</i>] — закрывающая светящегося Брахмана, одна из двух Аварана-шакти, которая устраняется Апарокша-Джнаной.</p>"
АБХАСА,<p><b>Абхаса</b> [<i>санскр.</i>] — образ; отражение.</p>
АБХАСАВАДА,"<p><b>Абхасавада</b> [<i>санскр.</i>] — доктрина, утверждающая, что всё творение есть отражение высшей Реальности.</p>"
АБХАСАМ,<p><b>Абхасам</b> [<i>санскр.</i>] — эффект.</p>
АБХАСАМАТРА,<p><b>Абхасаматра</b> [<i>санскр.</i>] — только в имени.</p>
АБХАТИ,"<p><b>Абхати</b> [<i>санскр.</i>] — сияние, освещение.</p>"
АБХАЯГИРИВИХАРА,"<p><b>АБХАЯГИРИВИХАРА</b> — будд. монастырь, основан в 2 в. до н. э. на северной окраине г. Анурад-хапура (Ланка). Этот монастырь был оплотом махаянистов, к-рые вели борьбу и диспуты с тхеравадинами. От А. сохранилась лишь ступа Абхаягири диаметром 100 м и высотой 86 м. [Источник: словарь буддийских терминов (1).]</p>"
АБХАЯДАНА,<p><b>Абхаядана</b> [<i>санскр.</i>] — дар бесстрашия.</p>
АБХАЯМ,<p><b>Абхаям</b> [<i>санскр.</i>] — бесстрашие.</p>
АБХЕДА,"<p><b>Абхеда</b> [<i>санскр.</i>] — без различия.</p><p><b>АБХЕДА</b> — сс. Неразделенность. Тождественность. Единство, целостность мира. Согласно буддийскому учению, единство - истинное состояние мира, который не имеет множественности. Представление о его разделенности признается ложным, свойственным низшим формам сознания на мирском уровне существования. На высших уровнях состояния сознания мир предстает как единый (эка) и постигается через интуитивную мудрость (праджня). [Источник: словарь буддийских терминов (2).]</p>"
АБХЕДА-АХАМКАРА,"<p><b>Абхеда-Ахамкара</b> [<i>санскр.</i>] — Саттвическое эго, которое отождествляет себя с Брахманом или Единством.</p>"
АБХЕДА-БУДДХИ,"<p><b>Абхеда-Буддхи</b> [<i>санскр.</i>] — Буддхи, который видит единство.</p>"
АБХЕДАБХАВА,<p><b>Абхедабхава</b> [<i>санскр.</i>] — чувство неразделимости.</p>
АБХЕДА-БХАКТИ,"<p><b>Абхеда-Бхакти</b> [<i>санскр.</i>] — высшая преданность тому, что является наивысшим в отождествлении поклоняющегося и поклоняемого; преданность без чувства двойственности.</p>"
АБХЕДА-ДЖНАНА,<p><b>Абхеда-Джнана</b> [<i>санскр.</i>] — знание о тождестве Атмана и Параматмана.</p>
АБХЕДА-ЧАЙТАНЬЯ,<p><b>Абхеда-Чайтанья</b> [<i>санскр.</i>] — постояная мысль о тождестве Дживы с Брахманом; неделимое сознание.</p>
АБХЕДХЬЯ,<p><b>Абхедхья</b> [<i>санскр.</i>] — неделимое существование.</p>
АБХИБХАВА,"<p><b>Абхибхава</b> [<i>санскр.</i>] — непреодолимый, всепоглощающий.</p>"
АБХИВИМАНА,<p><b>Абхивимана</b> [<i>санскр.</i>] — идентификация с Я; эпитет безграничного Высшего Существа.</p>
АБХИВЬЯКТА,<p><b>Абхивьякта</b> [<i>санскр.</i>] — проявленный.</p>
АБХИВЬЯКТИ,"<p><b>Абхивьякти</b> [<i>санскр.</i>] — обнаружение, выявление.</p>"
АБХИГАМАНА,<p><b>Абхигамана</b> [<i>санскр.</i>] — приближение.</p>
АБХИДЖАТА,"<p><b>Абхиджата</b> [<i>санскр.</i>] — явный, врожденный, благородный, изысканный, мудрый.</p>"
АБХИДЖНА,"<p><b>Абхиджна</b> [<i>санскр.</i>] — направление; восприятие или пополнение, осуществляемое памятью.</p>"
АБХИДЖНА-ДЖНАНА,<p><b>Абхиджна-Джнана</b> [<i>санскр.</i>] — знание посредством непосредственного восприятия.</p>
АБХИДЖНЯ,"<p><b>АБХИДЖНЯ</b> (санскр.), абхиньня (пали) — сверхзнание, достигаемое с помощью медитации. Высшее состояние сознания, при к-ром проявляются шесть способностей: 1) видеть все, что пожелаешь; 2) различать и понимать любой язык; 3) проникать в чужие мысли; 4) знание всех своих предыдущих жизней; 5) знание предшествующих жизней других существ; 6) свобода от любых желаний. В .И. Корнев [Источник: словарь буддийских терминов (1).]</p><p><b>АБХИДЖНЯ</b> — сс. АБХИННЯ - пали. Сверхзнание. Высшее интуитивное знание, обретаемое при духовной практике или в результате спонтанного интуитивного прозрения. В буддизме к высшим знаниям относят достижение тождества, единства мира, субъекта и объекта и др. Абхиджня трактуется как проникновенное интуитивное познание, постижение истины и обладание сверхъестественными способностями, ясновидением, ясно слышанием, чтением чужих мыслей, памятью о прошлых рождениях и др. [Источник: словарь буддийских терминов (2).]</p>"
АБХИДХАММА-ПИТАКА,<p><b>АБХИДХАММА-ПИТАКА</b> — одна из трех осн. частей будд. канона наряду с Сутта-питакой и Виная-питакой (см. Типитака). [Источник: словарь буддийских терминов (1).]</p>
АБХИДХАРМА,"<p><b>АБХИДХАРМА</b> (санскр.), абхидхамма (пали) — третий и последний после Виная-питаки и Сутта-питаки раздел будд. канона. Его полное название - Абхидхарма-питака - букв. корзина, содержащая будд. доктрину. Появился после раскола буддизма. Предполагают, что каждая из ранних будд. школ имела свою А., но только тексты школ сарвастивада и тхеравада вошли в полный свод канонич. текстов. А. пользовалась большим почитанием у тхеравадинов Юго-Вост. Азии, особенно в Бирме (Мьянма). В ней нет к.-л. логической систематизированности, т. к. А. представляет собой собрание текстов, предназначенных служить основой для медитации. Содержание А. составляют вопросы этики, психологии и эпистемологии. В ней представлены не изречения Будды, а точка зрения на буддизм его учеников и выдающихся ученых. А. включалась в канон не всеми школами, напр., махасангхики не относили ее к числу канонич. текстов. Нек-рые школы включали в Абхидхарма-питаку большую часть Кхуддаканикаи - последней части Сутта-питаки; 2) специфический метод изложения будд. учения в Абхидхарма-питаке и абхидхармической лит-ре, отличающийся от метода изложения в др. разделах канона большей сложностью. Это связано с тем, что адресатом А. является не простой верующий, а подготовленный ученый. Специфичностью этого метода является обезличенность и академичность изложения, использование средств индукции, анализа и синтеза, больший интерес к дефинициям. Это уже не проповедь, а описание мира вокруг и внутри человека; 3) содержание учения Будды - букв. высшая дхарма будд. доктрины. В корпус абхидхармической лит-ры включают и комментарии на осн. тексты, и учебники, написанные позднее. Йогачары иногда называли А. свои сочинения, независимо от их содержания. Махаянисты называли А. многие свои тексты, включая праджняпарамитские сутры: в Китае и Тибете к А. относят Бриллиантовую сутру. Осн. абхидхармическими текстами считаются 7 книг школы тхеравада (палийская А.), сохранившиеся на палийском языке, и 7 книг школы сарвастивада (санскритская А.), дошедших только в кит. и тиб. переводах и оказавших большое влияние на развитие будд. философии. В разных традициях эти книги приписываются разным авторам. [Источник: словарь буддийских терминов (1).]</p><p><b>АБХИДХАРМА</b> — сс. АБХИДХАММА, АБИДАММА- пали. Высшая мудрость. Буддийское учение, изложенное в текстах канона «Трипитака». Один из разделов этого канона. Жанр буддийской литературы, к которому относят философские произведения, например «Энциклопедию абхидхармы» («Абхидхармакоша») Васубандху. [Источник: словарь буддийских терминов (2).]</p>"
АБХИМАНА,<p><b>Абхимана</b> [<i>санскр.</i>] — хитрость; эгоистическое чувство; эгоистическая идентификация.</p>
АБХИМАНИ,"<p><b>Абхимани</b> [<i>санскр.</i>] — тот, у кого эгоистическое чувство.</p>"
АБХИНАЯ,"<p><b>Абхиная</b> [<i>санскр.</i>] — контроль, тренировка, дисциплина.</p>"
АБХИНИВЕША,"<p><b>Абхинивеша</b> (abhinivesha) [<i>санскр.</i>] — последняя из клеш; страх смерти, цепляние за жизнь, сильная привязанность; привязанность к земле-жизни; стремление жить.</p><p><b>АБХИНИВЕША</b> (<i>англ.</i> Abhinivesha) — Стремление к обладанию, которое иногда сводится к привязанности к телесной, воплощенной жизни. Включает в себя влечения и неприятия в форме стремления к вещам и материальной жизни и страха потерь и смерти. [Источник: словарь йоги.]</p><p><b>АБХИНИВЕША</b> — сс. Привязанность. Влечение. Склонность. В буддизме любые привязанности, в том числе к материальному благосостоянию, к своему положению, к занятию, ритуалу и др., считаются препятствием (пратигха) на пути к достижению высшей цели, освобождения (нирвана). Освобождение даже от привязанности к жизни - одна из задач буддийской практики. Синонимы: асакти, адана, упадана. [Источник: словарь буддийских терминов (2).]</p>"
АБХИСЕКА,"<p><b>Абхисека</b> [<i>санскр.</i>] — посвящение, инициация.</p>"
АБХОКТА,<p><b>Абхокта</b> [<i>санскр.</i>] — не наслаждающийся; не искушённый.</p>
АБХРА,<p><b>Абхра</b> [<i>санскр.</i>] — центр.</p>
АБХРАМ,<p><b>Абхрам</b> [<i>санскр.</i>] — облако.</p>
АБХЬЮДАЯ,<p><b>Абхьюдая</b> [<i>санскр.</i>] — восторг высоким состоянием.</p>
АБХЬЯНТАРА,<p><b>Абхьянтара</b> [<i>санскр.</i>] — внутренний.</p>
АБХЬЯСА,"<p><b>Абхьяса</b> (abhyasa) [<i>санскр.</i>] — постоянная, регулярная и непрерывающаяся практика; практика, повторение; духовная практика; одно из шести замечаний Ведантического учения и исследования.</p><p><b>АБХЬЯСА</b> (<i>англ.</i> Abhyasa) — Упорная практика, нацеленная на неуклонное и решительное освоение йоги. [Источник: словарь йоги.]</p><p><b>АБХЬЯСА</b> — сс. Повторение. Одно из правил духовной практики. При повторении в сознании закрепляются следы совершенных действий. Они облегчают воспроизведение прежнего опыта, повышают эффективность действий, углубляют связанные с ними переживания. Результатом повторения может стать скачок в сознании, когда происходит мгновенное достижение цели, успокоение, просветление, освобождение. Повторение неблагих действий приводит к развитию неблагих качеств личности. [Источник: словарь буддийских терминов (2).]</p>"
АБХЬЯСЕНА,<p><b>Абхьясена</b> [<i>санскр.</i>] — практикованием.</p>
АБХЬЯСИ,"<p><b>Абхьяси</b> (abhyasi) [<i>санскр.</i>] — человек, регулярно занимающийся какой-либо практикой.</p>"
АБХЬЯСИН,"<p><b>Абхьясин</b> [<i>санскр.</i>] — практик Йоги; тот, кто изучает Веды.</p>"
АВ,<p><b>Ав</b> [<i>санскр.</i>] — Возлюбленного.</p>
АВА,"<p><b>Ава</b> [<i>санскр.</i>] — направление, луч.</p>"
АВАДЖНА,<p><b>Аваджна</b> [<i>санскр.</i>] — пренебрежение; презрение.</p>
АВАДХУТА,"<p><b>Авадхута</b> [<i>санскр.</i>] — аскет, который отрёкся от мира; шестое предписание Санньясинов, обычно обнажённых; высшая стадия аскетизма или Тапаса.</p><p><b>АВАДХУТА</b> — сс. Устранившийся. Человек, отрекшийся от мирской суеты. В духовной практике отрешение рассматривается не как уход, бегство от трудностей, а как возвышение над ними, над желаниями и страстями с целью самосовершенствования и освобождения от новых рождений. Жизнь отшельника часто связана с жестоким аскетизмом и изнуряющими упражнениями Буддизм провозглашает срединный путь без излишеств и самоистязания. [Источник: словарь буддийских терминов (2).]</p>"
АВАДХУТИ,<p><b>Авадхути</b> [<i>санскр.</i>] (дхути) название центрального канала психической Энергии.</p>
АВАДХЬЯ,<p><b>Авадхья</b> [<i>санскр.</i>] — неуязвимый.</p>
АВАЙКАЛЬЯ,<p><b>Авайкалья</b> [<i>санскр.</i>] — совершенство; не отвлечение.</p>
АВАЛ,"<p><b>Авал</b> [<i>санскр.</i>] — поворот, переворот.</p>"
АВАЛОК,"<p><b>Авалок</b> [<i>санскр.</i>] — внимание, картина.</p>"
АВАЛОКИТА,"<p><b>Авалокита</b> — см.: Авалокитешвара. [Источник: Бодхичарья-аватара, словарь.]</p>"
АВАЛОКИТЕШВАРА,"<p><b>Авалокитешвара</b> [<i>санскр.</i>] — Зрящий глаз.</p><p><b>АВАЛОКИТЕШВАРА</b> (санскр.; кит. Гуань-инь, яп. Каннон, монг. Хоншим, Арьябала) — бодхисаттва в мифологии махаяны и ваджраяны, выступающий как олицетворение сострадания. Как мифология, образ сложился в последние века до н. э. А. считается эманацией будды Амитабхи. Известны 32 его формы (в т. ч. индуистские боги Брахма, Ганеша, Вишну, Шива), в облике к-рых он появляется во всех будд. мифах, всюду спасая страдающих. Самая популярная его форма в ваджраяне - А. с 6 руками, 11 лицами, образовавшимися от сочувствия к страданиям человечества. Его земным воплощением считается глава школы гелугпа Далай-лама. А. весьма почитаем в кит. и яп. буддизме. [Источник: словарь буддийских терминов (1).]</p><p><b>Авалокитешвара</b> (тиб. spyan ras gzigs dbang phyug) —  один из основных бодхисаттв махаяны, олицетворение сострадания. Сложное санскритское слово Avalokita-isvara переводят по-разному: «бог, который смотрит вниз», «господь, который увидит», «господь, которого увидели» и т. п. Тибетский перевод означает «зрящий глаз», монгольский - «взирающий очами». Авалокитешвара может принимать различные формы (в общей сложности их 32), чтобы спасать страдающих, крики и стоны которых он слышит. Его изображают то похожим на индийского принца (Синханада Авалокитешвара), то держащим цветок лотоса (Падмапани), то четырехруким (Шадакшари Авалокитешвара), то имеющим 11 ликов и 1000 рук (Экадашамукха Авалокитешвара). Его Святейшество Далай-лама и Гьялва Кармапа считаются воплощением этого бодхисаттвы (см.: Мифы народов мира. Т. 1. М.: Советская энциклопедия, 1991. С. 23-24). [Источник: Бодхичарья-аватара, словарь.]</p>"
АВАНГМАНОГОЧАРА,<p><b>Авангманогочара</b> [<i>санскр.</i>] — вне досягаемости речи и ума; Брахман или Я.</p>
АВАНИПАЛА,"<p><b>Аванипала</b> [<i>санскр.</i>] — цари, воины.</p>"
АВАНТАРА-ВАКЬЯ,"<p><b>Авантара-Вакья</b> [<i>санскр.</i>] — в Веданте вторичное или промежуточное заявление или предложение, предназначенное для определения Брахмана перед посвящением ученика в значение высшей Махавакья Абсолютной Тождественности.</p>"
АВАНТУМ,<p><b>Авантум</b> [<i>санскр.</i>] — достигать.</p>
АВАП,"<p><b>Авап</b> [<i>санскр.</i>] — выгода, начало.</p>"
АВАРА,<p><b>Авара</b> [<i>санскр.</i>] — защита.</p>
АВАРАНА ШАКТИ,"<p><b>Аварана шакти</b> (avarana shakti) [<i>санскр.</i>] — хираньягарбха, космическое тонкое тело.</p>"
АВАРАНА,"<p><b>Аварана</b> [<i>санскр.</i>] — покров невежества; покров, завеса; сила, маскирующая душу.</p><p><b>АВАРАНА</b> (<i>англ.</i> Avarana) — См. Майя. [Источник: словарь йоги.]</p><p><b>АВАРАНА</b> — сс. Покров. Пелена. Защита. Завеса, создаваемая иллюзией (майя). На эту завесу сознание проецирует собственные ментальные конструкции, принимаемые им за истинную реальность. При просветлении пелена перед внутренним взором спадает, рассеивается, открывая истинную суть вещей. В буддизме аваранами называют шесть препятствий, не позволяющих познать истину: лень (каушидья), гордыню (мана), самообман (сатхья), высокомерие (ауддхатья), ненасытность (анабхога), пресыщенность (сабхога). В индуистском (индусском) тантризме восемь защит (ашта-аварана) от перерождений означают: культ учителя (гуру), символа мужской силы (линга, лингам), отрешенность (вайрагья, авадхута), святую воду, освященную пищу, священный пепел, зерна для ритуальных предметов и великую мантру (махамантра). Термин «аварана» образует словосочетания типа «клеша-аварана», что в буддизме означает преграду для совершенствования и освобождения, связанную с омраченностью сознания, аффектами (клеша), и «джнея-аварана», что означает преграду, связанную с познаваемостью объектов. [Источник: словарь буддийских терминов (2).]</p>"
АВАРАНА-АБХАВА,<p><b>Аварана-Абхава</b> [<i>санскр.</i>] — отсутствие скрывающего покрова.</p>
АВАРАНА-БХАНГА,<p><b>Аварана-Бханга</b> [<i>санскр.</i>] — уничтожение покрова невежества.</p>
АВАРАНА-ШАКТИ,<p><b>Аварана-Шакти</b> [<i>санскр.</i>] — скрывающая сила Майи; Авидья у индивидуума.</p>
АВАРОХА,<p><b>Авароха</b> [<i>санскр.</i>] — спуск.</p>
АВАРОХАН,"<p><b>Аварохан</b> (awarohan) [<i>санскр.</i>] — психический (пранический) канал в тонком теле, который идет вниз от бинду к аджне, затем внутри позвоночника через каждую чакру к муладхаре.</p>"
АВАС,"<p><b>Авас</b> [<i>санскр.</i>] — польза, внимание.</p>"
АВАСАНА,<p><b>Авасана</b> [<i>санскр.</i>] — конец; завершение; ограничение.</p>
АВАСТУ,"<p><b>Авасту</b> [<i>санскр.</i>] — нематериальный; не вещество; ничто; без характеристики вещи как сущности, окружённой пространством и связанной со временем; невещественный.</p>"
АВАСТХА ПАРИНАМА,"<p><b>Авастха паринама</b> [<i>санскр.</i>] — трансформация, приводящая к завершающей стадии очищения.</p>"
АВАСТХА,"<p><b>Авастха</b> (avastha) [<i>санскр.</i>] — условие или состояние ума и сознания, достигаемое посредством усилий; состояние.</p><p><b>АВАСТХА</b> (<i>англ.</i> Three Avasthas) — Три состояния сознания, испытываемые каждым человеком:<br/>1) Бодрствующее состояние (джаграт), в котором человек осознает объекты внешнего мира и способен думать и действовать в соответствии с этим осознанием;<br/>2) Состояние сновидение (свапна), в котором существуют только субъективные, умственные образы объектов, отсутствуют контроль над этими образами, телесные страдания и удовольствия, а также сознательная оценка этих объектов;<br/>3) Состояние глубокого сна (сушупти), в котором нет никаких образов, ни субъективных, ни объективных; есть только состояние блаженного покоя, о котором человек может помнить, проснувшись.<br/>Иногда упоминается четвертое состояние (турия); считается, что во время третьего состояния, состояния сна, личность (джива), хотя и отдыхает в причинном теле (карана шарира), но все еще отделена от своего подлинного Я собственным неведением. Однако в этом четвертом состоянии, турия, это разделение преодолевается, и человек достигает чистого знания (шуддха видья). Помимо этого, существует также пятое состояние (турьятита), в котором наступает полное единение и тождество атмы (личного Я) и параматмы (общего Верховного Я). [Источник: словарь йоги.]</p><p><b>АВАСТХА</b> — сс. Состояние. Термин впервые встречается в упанишадах. В веданте он означает состояние сознания или три состояния сознания, свойственные всем людям. Состояние бодрствования (джагара, джагарат, джагарита) называют всеобщим (вайшванара). Состояние сна со сновидениями (свапна) называют сияющим (тайджаса), так как в нем сознание не нуждается во внешнем источнике света. Глубокий сон без сновидений (сушупти, сушупта, шупта, супта) называют глыбой мудрости (праджнягхана). Йога ввела представление о пяти состояниях сознания (панчавастха), добавив четвертое (турья, турийя), которое считают космическим, т. к. в нем индивидуальная душа (атман) сливается с мировой, и пятое (турья-тита). В нем постигается творческий аспект (ишвара) бога (Брахман), его сущность (ишвара-таттва). Описаны и другие состояния, такие как нидра (сноподобный йогический отдых), тандра (заторможенность, возникающая при переписывании священных текстов или при распевании мантр), мудха (смятение ума), нивриттимат (спутанное, алогичное сознание), кшипта (беспокойство, рассеянность, несобранность сознания). Буддийская духовная практика направлена на контролируемое изменение состояния сознания (авастха-паринама). Систему измененных состояний сознания (читтакалпа) и их содержание называют буддийским психокосмом. [Источник: словарь буддийских терминов (2).]</p>"
АВАСТХАНАМ,"<p><b>Авастханам</b> [<i>санскр.</i>] — стоять, покоиться, обитать, пребывать.</p>"
АВАСТХАНТАРГАТАПРАПТИ,"<p><b>Авастхантаргатапрапти</b> [<i>санскр.</i>] — состояние эффекта, который разрешён или вовлечён в причину.</p>"
АВАСТХАСТХИТИ,<p><b>Авастхастхити</b> [<i>санскр.</i>] — постоянное пребывание; неизменность.</p>
АВАСТХАТРАЙЯ,"<p><b>Авастхатрайя</b> [<i>санскр.</i>] — три стадии бодрствования, дремоты и сна.</p>"
АВАТ,"<p><b>Ават</b> [<i>санскр.</i>] — противоположное прославлению Богов при жертвоприношениях, отказ от жертвоприношений.</p>"
АВАТА,"<p><b>Авата</b> [<i>санскр.</i>] — яма, колодец.</p>"
АВАТАР,"<p><b>Аватар</b> [<i>санскр.</i>] (ава – из, вниз; аватаран – нисхождение) воплощение, инкарнация.</p>"
АВАТАРА,"<p><b>Аватара</b> (avatara) [<i>санскр.</i>] — нисхождение или инкарнация высшего сознания, например, Рама, Кришна; спуск; опускание Божественного на человеческий план; воплощение.</p><p><b>АВАТАРА</b> (<i>англ.</i> Avatara) — Изредка возникающая в истории человечества выдающаяся личность, душа, или разум которой уже неподвластны процессам эволюции и реинкарнации. Она намеренно воплощается в человеческом мире из духовной, или божественной Запредельности, высшего мира. Аватары возникают в определенные моменты развития человечества, когда необходимо изменить циклический ход событий истории, на которую аватара оказывает значительное и действенное влияние. [Источник: словарь йоги.]</p><p><b>АВАТАРА</b> — сс. Сошествие. Нисхождение божества на землю в более низкой форме другого божества, человека, животного, растения. Наибольшее количество аватар имеет индуистский бог Вишну. Проявление божественной сущности в мире связывают с сс. желанием повлиять на ход событий или с играми (лила) богов, но не с целью эволюции самой божественной сущности. В литературе как синонимы применяют термины «манифестация», «инкарнация», «воплощение» или «эманация». [Источник: словарь буддийских терминов (2).]</p>"
АВАТАРА-ВАДА,"<p><b>Аватара-Вада</b> [<i>санскр.</i>] — доктрина, утверждающая, что Бог принимает форму человека.</p>"
АВАХАНА,<p><b>Авахана</b> [<i>санскр.</i>] — вызывание Мантрами божества для проявления во время поклонения.</p>
АВАХИТА,"<p><b>Авахита</b> [<i>санскр.</i>] — внимательный, прилежный.</p>"
АВАЧЧХЕДА,"<p><b>Аваччхеда</b> [<i>санскр.</i>] — определение границ; раздел.</p><p><b>АВАЧЧХЕДА</b> (<i>англ.</i> Avachchheda) — Отделенность, разделенность. В традиции веданты и джняна-йоги - величайшая ересь. Как скульптор способен увидеть еще не сотворенную статую в монолите мрамора, так все формы Вселенной являются вратами к беспредельному единству, когда они полностью видимы и познаны в йоге посредством самадхи. Прогресс чистой науки обнаруживает Единство Природы, и любое развитие знания есть все более проясненное видение этого Единства, так же как развитие любви представляет собой все более ясное его ощущение, а воспитание воли - все более мощное служение ему. [Источник: словарь йоги.]</p><p><b>АВАЧЧХЕДА</b> — сс. Разделенность. Состояние мира, свойственное сознанию низшего уровня. Представление о мире как о разделенном на множество субъектов и объектов связано с неведением (авидья), свойственным мирскому сознанию. При достижении высоких уровней сознания человек постигает единство мира. Синоним: бхеда. [Источник: словарь буддийских терминов (2).]</p>"
